task,model,stage,train_seconds,val_rmse,val_mae,val_r2,train_rmse,train_mae,train_r2,best_params,test_rmse,test_mae,test_r2,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_brier,train_accuracy,train_precision,train_recall,train_f1,train_roc_auc,train_brier,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_brier
house_price,ridge,baseline,0.039,68111.67310027771,49919.99199771282,0.6533301702488323,68464.06684378439,49457.4657127934,0.6487476778801913,,,,,,,,,,,,,,,,,,,,,,
house_price,random_forest,baseline,1.204,52608.3153209389,34899.231036098055,0.7931851404290371,34444.208181057795,23942.3663205304,0.9110949913373112,,,,,,,,,,,,,,,,,,,,,,
house_price,xgboost,baseline,0.642,48205.19946517665,31838.02099357033,0.8263556252698163,36811.73223944466,25591.25550411389,0.8984531802891,,,,,,,,,,,,,,,,,,,,,,
house_price,xgboost,tuned,9.513,,,,,,,"{""model__learning_rate"": 0.1, ""model__max_depth"": 6}",47420.38901673989,31786.07195398296,0.8284105400361104,,,,,,,,,,,,,,,,,,
house_price,random_forest,tuned,6.92,,,,,,,"{""model__max_depth"": 14}",50219.46713923151,32920.32787353932,0.8075559079104473,,,,,,,,,,,,,,,,,,
churn,logistic_regression,baseline,0.085,,,,,,,,,,,0.7426679280983917,0.5106382978723404,0.7686832740213523,0.6136363636363636,0.8291860806398356,0.1697323393279383,0.7539054574964495,0.523410547067521,0.8119266055045872,0.6364998501648187,0.8510834902079021,0.1629949578448784,,,,,,
churn,random_forest,baseline,0.348,,,,,,,,,,,0.771050141911069,0.5537190082644629,0.7153024911032029,0.6242236024844721,0.8276428990717981,0.1570093721389623,0.9074863055386488,0.7434285714285714,0.9946483180428136,0.8508829300196207,0.9878595341310924,0.0733862525333146,,,,,,
churn,xgboost,baseline,0.468,,,,,,,,,,,0.7578051087984863,0.53315649867374,0.7153024911032029,0.6109422492401215,0.8289086289760429,0.1612520515918731,0.8472306755934267,0.6489533011272142,0.9243119266055044,0.7625354777672658,0.940851953478984,0.1074288934469223,,,,,,
churn,logistic_regression,tuned,0.363,,,,,,,"{""model__C"": 5.0}",,,,,,,,,,,,,,,,0.7369914853358562,0.5022123893805309,0.8107142857142857,0.6202185792349727,0.8489726971869829,0.1674139873993649
churn,xgboost,tuned,2.313,,,,,,,"{""model__learning_rate"": 0.05, ""model__max_depth"": 3}",,,,,,,,,,,,,,,,0.7559129612109745,0.5248868778280543,0.8285714285714286,0.6426592797783933,0.8555088251516824,0.1606629788875579
loan_default,logistic_regression,baseline,0.055,,,,,,,,,,,0.7282608695652174,0.5666666666666667,0.5862068965517241,0.576271186440678,0.6808976464148878,0.1939210631415284,0.7715617715617715,0.6384615384615384,0.6194029850746269,0.6287878787878788,0.8204401720212497,0.15597528886302836,,,,,,
loan_default,random_forest,baseline,0.521,,,,,,,,,,,0.7391304347826086,0.631578947368421,0.41379310344827586,0.5,0.7148330596606459,0.18151940915923,0.9976689976689976,0.9925925925925926,1.0,0.9962825278810409,1.0,0.03520202144312772,,,,,,
loan_default,xgboost,baseline,1.005,,,,,,,,,,,0.782608695652174,0.7142857142857143,0.5172413793103449,0.6,0.7071702244116038,0.17929306626319885,0.993006993006993,0.9781021897810219,1.0,0.988929889298893,0.9999494055147989,0.02449066750705242,,,,,,
loan_default,random_forest,tuned,1.611,,,,,,,"{""model__max_depth"": 8}",,,,,,,,,,,,,,,,0.7311827956989247,0.5714285714285714,0.5517241379310345,0.5614035087719298,0.7155172413793104,0.18721121603126048
loan_default,xgboost,tuned,2.919,,,,,,,"{""model__learning_rate"": 0.05, ""model__max_depth"": 3}",,,,,,,,,,,,,,,,0.7419354838709677,0.5862068965517241,0.5862068965517241,0.5862068965517241,0.6966594827586207,0.1993177831172943
